y=938, x=593..595
y=577, x=457..474
x=543, y=1284..1295
x=596, y=306..324
x=564, y=1963..1965
x=551, y=1021..1037
x=451, y=577..591
x=555, y=367..383
x=484, y=119..133
y=421, x=585..592
y=1295, x=543..563
x=510, y=120..147
x=487, y=1180..1194
x=487, y=1680..1690
y=440, x=613..617
x=549, y=1935..1944
y=865, x=438..451
x=497, y=959..987
y=324, x=596..613
x=511, y=226..230
x=549, y=1579..1592
x=461, y=518..528
y=988, x=446..465
x=493, y=1728..1732
x=449, y=820..833
x=492, y=673..685
x=511, y=51..57
x=567, y=1917..1927
x=455, y=1854..1867
x=481, y=506..517
y=1799, x=478..494
x=596, y=846..853
x=523, y=262..265
x=543, y=1004..1018
x=529, y=102..107
x=489, y=1927..1933
x=501, y=539..548
x=458, y=460..471
x=463, y=608..619
x=466, y=778..790
y=853, x=576..596
x=483, y=197..214
x=519, y=444..450
x=583, y=1043..1051
x=555, y=1264..1274
y=1122, x=524..587
x=528, y=1239..1266
x=466, y=446..454
y=868, x=490..494
x=506, y=261..265
x=515, y=1239..1249
y=560, x=556..558
x=566, y=922..942
y=1568, x=608..619
x=506, y=1379..1393
x=478, y=1590..1599
x=520, y=779..790
x=523, y=526..551
y=800, x=444..453
x=576, y=1216..1223
y=1839, x=483..486
x=588, y=1213..1222
x=472, y=1075..1095
x=543, y=925..936
y=1181, x=435..438
y=1383, x=569..589
x=545, y=679..683
x=432, y=928..936
y=895, x=499..521
x=525, y=460..480
x=476, y=125..130
y=1223, x=574..576
x=569, y=1336..1338
x=521, y=1744..1756
x=461, y=941..951
y=1911, x=596..603
x=438, y=1542..1552
x=583, y=965..981
x=450, y=481..491
y=833, x=449..463
x=576, y=1248..1250
x=492, y=464..490
y=373, x=575..578
x=471, y=245..255
x=467, y=202..211
x=499, y=1701..1713
y=1648, x=447..449
y=1373, x=489..492
y=1158, x=450..463
x=479, y=435..446
y=806, x=538..540
y=356, x=607..611
y=747, x=537..554
x=510, y=910..925
x=523, y=1769..1776
x=438, y=264..278
x=525, y=26..40
x=599, y=1349..1360
x=607, y=353..356
y=1204, x=571..574
x=536, y=1501..1503
x=588, y=7..16
x=562, y=774..800
x=473, y=1133..1136
y=1779, x=544..559
x=485, y=1208..1211
x=483, y=1834..1839
x=470, y=1272..1280
y=1375, x=445..449
x=496, y=463..490
y=446, x=479..481
x=450, y=205..217
x=570, y=1520..1523
x=513, y=328..342
x=433, y=1369..1380
x=497, y=1728..1732
y=1523, x=570..576
y=1510, x=495..497
y=316, x=561..581
y=335, x=517..542
x=459, y=884..912
x=619, y=1544..1568
x=567, y=210..219
x=549, y=349..351
x=433, y=76..84
y=371, x=541..549
y=108, x=473..495
y=1596, x=487..505
x=566, y=1716..1732
y=772, x=450..528
y=1095, x=472..491
x=486, y=909..925
x=487, y=1584..1596
y=40, x=525..548
y=640, x=530..550
y=672, x=456..458
x=594, y=336..346
x=536, y=779..790
x=447, y=1429..1444
x=498, y=33..35
x=601, y=217..224
y=123, x=600..618
x=605, y=1213..1222
x=509, y=1705..1709
x=513, y=1705..1709
x=450, y=1766..1772
y=1143, x=576..598
x=432, y=1916..1928
x=562, y=1070..1081
x=514, y=226..230
x=530, y=631..640
x=515, y=1741..1753
x=498, y=329..342
y=1444, x=447..473
x=616, y=217..224
x=494, y=588..600
x=446, y=1939..1942
x=616, y=1746..1752
y=346, x=594..607
y=809, x=528..546
x=505, y=1743..1756
y=173, x=457..460
x=485, y=1421..1424
y=294, x=492..495
x=439, y=499..519
x=434, y=90..105
x=505, y=1918..1925
y=951, x=438..461
x=502, y=903..906
x=570, y=181..197
x=450, y=189..195
x=480, y=884..912
y=1266, x=528..531
x=591, y=96..119
y=134, x=549..568
y=997, x=514..534
x=613, y=415..440
x=510, y=395..401
x=594, y=1626..1628
x=523, y=592..601
x=469, y=285..310
x=549, y=112..134
x=569, y=1128..1141
x=448, y=1000..1012
y=396, x=519..522
y=438, x=503..522
x=556, y=560..562
x=469, y=1915..1923
y=238, x=443..457
x=552, y=767..786
y=98, x=487..489
y=544, x=598..601
x=511, y=1213..1233
y=1944, x=459..463
y=1182, x=473..483
x=528, y=798..809
x=563, y=1133..1135
x=537, y=697..705
x=449, y=1371..1375
x=462, y=1225..1236
y=1250, x=576..579
y=1102, x=554..576
x=435, y=1178..1181
x=531, y=1305..1319
x=451, y=143..157
y=1928, x=432..452
y=211, x=460..467
x=433, y=670..693
y=978, x=534..554
y=1662, x=597..602
y=1479, x=455..473
x=442, y=1688..1708
x=571, y=1202..1204
y=1960, x=453..480
y=1503, x=512..536
x=555, y=1346..1353
x=578, y=601..615
x=514, y=202..203
x=452, y=1542..1552
x=506, y=30..39
x=489, y=98..101
y=1481, x=604..606
x=514, y=1531..1537
x=445, y=578..591
x=567, y=793..796
x=462, y=862..871
y=224, x=601..616
x=562, y=944..958
x=508, y=543..545
y=682, x=502..506
x=621, y=1450..1459
y=1155, x=547..557
x=484, y=20..36
x=492, y=444..450
x=480, y=350..359
x=541, y=1069..1081
x=533, y=1831..1844
x=526, y=354..363
y=232, x=470..475
y=1344, x=591..606
x=451, y=1694..1697
y=656, x=605..619
x=472, y=542..547
x=506, y=1656..1669
x=581, y=1194..1207
y=242, x=500..524
y=1766, x=551..579
x=463, y=1933..1944
x=453, y=1954..1960
x=550, y=989..991
x=547, y=908..927
x=468, y=482..491
x=569, y=1372..1383
y=148, x=458..462
x=495, y=95..108
x=560, y=1719..1723
y=998, x=543..565
x=503, y=436..438
x=447, y=620..635
y=1360, x=597..599
x=555, y=942..952
